# query 1
1 qid:1 1:1.0 2:2.0 3:2.0 4:2.0 5:2.0 6:2.0 7:2.0 8:2.0 9:2.0 10:2.0 11:2.0 12:2.0 13:2.0 14:1.0 15:2.0 16:2.0 17:2.0 18:2.0 19:1.0 20:1.0 21:2.0 22:2.0 23:2.0 24:2.0 25:2.0 26:2.0 27:2.0 28:2.0 29:2.0 30:2.0 31:2.0 32:2.0 33:2.0 34:2.0 35:2.0 36:2.0 37:2.0 38:2.0 39:2.0 40:2.0 41:2.0 42:2.0 43:2.0 44:2.0 45:2.0 46:2.0 47:2.0 48:2.0 49:2.0 50:2.0 51:2.0 52:2.0 53:1.0 54:2.0 55:2.0 56:2.0 57:2.0 58:2.0 59:2.0 60:2.0 61:2.0 62:2.0 63:1.0 64:2.0 65:1.0 66:2.0
2 qid:1 1:2.0 2:1.0 3:2.0 4:2.0 5:2.0 6:2.0 7:2.0 8:2.0 9:2.0 10:2.0 11:2.0 12:2.0 13:2.0 14:2.0 15:1.0 16:1.0 17:2.0 18:2.0 19:2.0 20:2.0 21:1.0 22:1.0 23:2.0 24:2.0 25:2.0 26:2.0 27:2.0 28:2.0 29:2.0 30:2.0 31:2.0 32:2.0 33:2.0 34:2.0 35:2.0 36:2.0 37:2.0 38:2.0 39:2.0 40:2.0 41:2.0 42:2.0 43:2.0 44:2.0 45:1.0 46:1.0 47:1.0 48:2.0 49:2.0 50:2.0 51:2.0 52:2.0 53:2.0 54:1.0 55:1.0 56:1.0 57:1.0 58:1.0 59:1.0 60:1.0 61:1.0 62:1.0 63:1.0 64:2.0 65:1.0 66:2.0
1 qid:1 1:1.0 2:2.0 3:2.0 4:2.0 5:2.0 6:2.0 7:2.0 8:2.0 9:2.0 10:2.0 11:2.0 12:2.0 13:2.0 14:1.0 15:2.0 16:2.0 17:2.0 18:2.0 19:1.0 20:1.0 21:2.0 22:2.0 23:2.0 24:2.0 25:2.0 26:2.0 27:2.0 28:2.0 29:2.0 30:2.0 31:2.0 32:2.0 33:2.0 34:2.0 35:2.0 36:2.0 37:2.0 38:2.0 39:2.0 40:2.0 41:2.0 42:2.0 43:2.0 44:2.0 45:2.0 46:2.0 47:2.0 48:2.0 49:2.0 50:2.0 51:2.0 52:2.0 53:1.0 54:2.0 55:2.0 56:2.0 57:2.0 58:2.0 59:2.0 60:2.0 61:2.0 62:2.0 63:1.0 64:2.0 65:1.0 66:2.0
2 qid:1 1:2.0 2:1.0 3:2.0 4:2.0 5:2.0 6:2.0 7:2.0 8:2.0 9:2.0 10:2.0 11:2.0 12:2.0 13:2.0 14:2.0 15:1.0 16:1.0 17:2.0 18:2.0 19:2.0 20:2.0 21:1.0 22:1.0 23:2.0 24:2.0 25:2.0 26:2.0 27:2.0 28:2.0 29:2.0 30:2.0 31:2.0 32:2.0 33:2.0 34:2.0 35:2.0 36:2.0 37:2.0 38:2.0 39:2.0 40:2.0 41:2.0 42:2.0 43:2.0 44:2.0 45:1.0 46:1.0 47:1.0 48:2.0 49:2.0 50:2.0 51:2.0 52:2.0 53:2.0 54:1.0 55:1.0 56:1.0 57:1.0 58:1.0 59:1.0 60:1.0 61:1.0 62:1.0 63:2.0 64:2.0 65:2.0 66:2.0
1 qid:1 1:1.0 2:2.0 3:2.0 4:2.0 5:2.0 6:2.0 7:2.0 8:2.0 9:2.0 10:2.0 11:2.0 12:2.0 13:2.0 14:1.0 15:2.0 16:2.0 17:2.0 18:2.0 19:1.0 20:1.0 21:2.0 22:2.0 23:2.0 24:2.0 25:2.0 26:2.0 27:2.0 28:2.0 29:2.0 30:2.0 31:2.0 32:2.0 33:2.0 34:2.0 35:2.0 36:2.0 37:2.0 38:2.0 39:2.0 40:2.0 41:2.0 42:2.0 43:2.0 44:2.0 45:2.0 46:2.0 47:2.0 48:2.0 49:2.0 50:2.0 51:2.0 52:2.0 53:1.0 54:2.0 55:2.0 56:2.0 57:2.0 58:2.0 59:2.0 60:2.0 61:2.0 62:2.0 63:1.0 64:2.0 65:1.0 66:2.0
2 qid:1 1:2.0 2:1.0 3:2.0 4:2.0 5:2.0 6:2.0 7:2.0 8:2.0 9:2.0 10:2.0 11:2.0 12:2.0 13:2.0 14:2.0 15:1.0 16:1.0 17:2.0 18:2.0 19:2.0 20:2.0 21:1.0 22:1.0 23:2.0 24:2.0 25:2.0 26:2.0 27:2.0 28:2.0 29:2.0 30:2.0 31:2.0 32:2.0 33:2.0 34:2.0 35:2.0 36:2.0 37:2.0 38:2.0 39:2.0 40:2.0 41:2.0 42:2.0 43:2.0 44:2.0 45:1.0 46:1.0 47:1.0 48:2.0 49:2.0 50:2.0 51:2.0 52:2.0 53:2.0 54:1.0 55:1.0 56:1.0 57:1.0 58:1.0 59:1.0 60:1.0 61:1.0 62:1.0 63:1.0 64:2.0 65:1.0 66:2.0
# query 2
1 qid:2 1:1.0 2:2.0 3:2.0 4:2.0 5:1.0 6:1.0 7:2.0 8:2.0 9:1.0 10:2.0 11:2.0 12:1.0 13:1.0 14:1.0 15:2.0 16:2.0 17:2.0 18:2.0 19:1.0 20:1.0 21:2.0 22:2.0 23:2.0 24:2.0 25:2.0 26:2.0 27:2.0 28:2.0 29:2.0 30:2.0 31:2.0 32:2.0 33:2.0 34:2.0 35:2.0 36:2.0 37:2.0 38:2.0 39:2.0 40:2.0 41:2.0 42:2.0 43:2.0 44:2.0 45:2.0 46:2.0 47:2.0 48:2.0 49:2.0 50:2.0 51:2.0 52:2.0 53:1.0 54:2.0 55:2.0 56:2.0 57:2.0 58:2.0 59:2.0 60:2.0 61:2.0 62:2.0 63:1.0 64:2.0 65:1.0 66:2.0
2 qid:2 1:2.0 2:1.0000000000000004 3:2.0 4:2.0 5:2.0 6:2.0 7:1.0 8:1.0 9:2.0 10:1.0 11:2.0 12:2.0 13:2.0 14:2.0 15:1.0 16:1.0 17:2.0 18:2.0 19:2.0 20:2.0 21:1.0 22:1.0 23:2.0 24:2.0 25:2.0 26:2.0 27:2.0 28:2.0 29:2.0 30:2.0 31:2.0 32:2.0 33:2.0 34:2.0 35:2.0 36:2.0 37:2.0 38:2.0 39:2.0 40:2.0 41:2.0 42:2.0 43:2.0 44:2.0 45:1.0 46:1.0 47:1.0 48:2.0 49:2.0 50:2.0 51:2.0 52:2.0 53:2.0 54:1.0 55:1.0 56:1.0 57:1.0 58:1.0 59:1.0 60:1.0 61:1.0 62:1.0 63:1.0 64:2.0 65:1.0 66:2.0
1 qid:2 1:1.0 2:2.0 3:2.0 4:2.0 5:1.0 6:1.0 7:2.0 8:2.0 9:1.0 10:2.0 11:2.0 12:1.0 13:1.0 14:1.0 15:2.0 16:2.0 17:2.0 18:2.0 19:1.0 20:1.0 21:2.0 22:2.0 23:2.0 24:2.0 25:2.0 26:2.0 27:2.0 28:2.0 29:2.0 30:2.0 31:2.0 32:2.0 33:2.0 34:2.0 35:2.0 36:2.0 37:2.0 38:2.0 39:2.0 40:2.0 41:2.0 42:2.0 43:2.0 44:2.0 45:2.0 46:2.0 47:2.0 48:2.0 49:2.0 50:2.0 51:2.0 52:2.0 53:1.0 54:2.0 55:2.0 56:2.0 57:2.0 58:2.0 59:2.0 60:2.0 61:2.0 62:2.0 63:1.0 64:2.0 65:1.0 66:2.0
